season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,QS
2024,674,Charros de Jalisco,616405,Mario Meza,1,RP,16,0,15,15,5,2,0,0,15,5,0,11,0,0.204,54,0.267,0.241,0.508,0,3,100.0,1,208,1.2,15.0,1,2,1,2,5,1,2,1.07,61,45,16,0,0,139,0.67,0,0,1,0,13,1.0,0.333,13.87,2,3.0,9.0,3.0,6.6,3.0,0.0,5,1,0,1,1,JAL,0
2024,674,Charros de Jalisco,570620,Ivan Zavala,1,RP,7,0,7,20,4,0,0,1,1,3,0,5,2,0.152,33,0.263,0.242,0.505,0,1,100.0,1,140,1.93,9.1,0,0,0,0,0,0,2,0.86,38,28,7,0,0,74,0.53,2,0,0,0,8,0.35,,15.0,3,0.33,0.96,2.89,4.82,3.86,0.96,4,1,0,0,0,JAL,0
2024,674,Charros de Jalisco,623441,Jared Wilson,1,RP,3,0,4,3,1,0,0,0,3,1,0,2,0,0.167,12,0.231,0.167,0.398,0,0,,0,55,2.7,3.1,0,1,0,0,1,0,1,0.9,13,10,3,0,0,32,0.58,0,0,1,0,2,1.33,0.0,16.5,1,3.0,8.1,2.7,5.4,2.7,0.0,0,0,0,0,0,JAL,0
2024,674,Charros de Jalisco,620396,Miguel Aguilar,1,RP,12,0,14,4,4,1,0,1,11,2,0,5,0,0.156,32,0.2,0.281,0.481,0,0,,1,166,2.89,9.1,0,1,0,0,4,0,3,0.75,36,28,12,0,0,108,0.65,0,0,0,0,9,3.5,0.0,17.79,3,5.5,10.61,1.93,4.82,3.86,0.96,6,0,0,1,1,JAL,0
2024,674,Charros de Jalisco,674478,Luis Payan,1,SP,6,6,36,30,14,6,1,2,23,7,0,32,3,0.269,119,0.326,0.387,0.713,0,4,100.0,2,469,3.07,29.1,3,1,0,0,0,0,10,1.33,131,88,6,0,0,294,0.63,3,0,2,0,46,1.2,0.75,15.99,0,3.29,7.06,2.15,9.82,4.3,0.61,0,0,0,2,0,JAL,2
2024,674,Charros de Jalisco,645179,Luis Ivan Rodriguez,1,SP,7,7,46,27,13,7,1,5,33,7,0,33,4,0.244,135,0.299,0.422,0.721,2,3,60.0,5,614,3.11,37.2,0,2,0,0,0,0,13,1.06,150,113,7,0,0,395,0.64,4,0,3,1,57,1.7,0.0,16.3,0,4.71,7.88,1.67,7.88,3.11,1.19,0,0,0,3,1,JAL,2
2024,674,Charros de Jalisco,672598,Alemao Hernandez,1,SP,6,6,39,32,11,3,0,3,17,12,0,28,1,0.248,113,0.325,0.354,0.679,1,1,50.0,4,505,3.19,31.0,3,2,0,0,0,0,11,1.29,129,93,6,0,0,311,0.62,1,0,1,1,40,1.22,0.6,16.29,0,1.42,4.94,3.48,8.13,3.19,0.87,0,0,0,3,0,JAL,3
2024,674,Charros de Jalisco,642574,Ronald Medrano,1,SP,5,5,26,29,13,4,1,2,25,11,0,24,2,0.235,102,0.319,0.353,0.672,1,1,50.0,2,471,3.62,27.1,2,3,0,0,0,0,11,1.28,117,82,5,0,0,297,0.63,2,0,0,0,36,0.9,0.4,17.23,0,2.27,8.23,3.62,7.9,4.28,0.66,0,0,0,1,1,JAL,2
2024,674,Charros de Jalisco,691839,Joe Jones,1,RP,7,0,6,6,4,2,0,1,3,5,0,6,1,0.3,20,0.462,0.55,1.012,0,0,,0,95,3.86,4.2,0,0,0,1,1,1,2,2.36,27,14,7,0,0,52,0.55,1,0,1,0,11,1.0,,20.36,0,0.6,5.79,9.64,11.57,7.71,1.93,1,1,0,1,0,JAL,0
2024,674,Charros de Jalisco,645799,Isaac Jimenez,1,RP,13,0,7,13,8,2,0,2,10,5,1,11,0,0.275,40,0.348,0.475,0.823,0,0,,1,191,6.1,10.1,1,1,0,2,3,2,7,1.55,46,31,13,0,0,112,0.59,0,0,3,0,19,0.54,0.5,18.48,2,2.0,8.71,4.35,9.58,6.97,1.74,6,1,0,0,1,JAL,0
2024,674,Charros de Jalisco,668155,Alberto Leyva,1,RP,12,0,5,7,5,2,0,1,8,8,0,8,1,0.286,28,0.459,0.464,0.923,1,1,50.0,1,157,6.14,7.1,0,0,0,1,1,1,5,2.18,37,22,12,0,0,86,0.55,1,0,0,1,13,0.71,,21.41,1,1.0,9.82,9.82,9.82,6.14,1.23,12,4,0,0,0,JAL,0
2024,674,Charros de Jalisco,527054,Julio Teheran,1,SP,6,6,41,24,21,3,0,4,22,9,0,31,3,0.267,116,0.333,0.397,0.73,1,7,87.5,3,507,6.28,28.2,2,1,0,0,0,0,20,1.4,130,86,6,0,0,325,0.64,3,0,1,0,46,1.71,0.667,17.69,0,2.44,6.91,2.83,9.73,6.59,1.26,0,0,0,1,1,JAL,1
2024,674,Charros de Jalisco,511648,Antonio Garzon,1,RP,13,0,6,8,6,0,0,1,7,4,0,8,2,0.296,27,0.412,0.407,0.819,1,0,0.0,2,142,6.75,8.0,0,0,0,0,0,0,6,1.5,35,24,13,0,0,82,0.58,2,0,0,0,11,0.75,,17.75,3,1.75,7.88,4.5,9.0,6.75,1.13,16,3,0,1,1,JAL,0
2024,674,Charros de Jalisco,605446,Dereck Rodríguez,1,"SP, RP",4,3,11,19,10,8,1,3,9,3,0,18,0,0.333,54,0.356,0.685,1.041,0,1,100.0,1,222,6.92,13.0,0,2,0,0,0,0,10,1.62,60,39,4,0,0,140,0.63,0,0,0,0,37,0.58,0.0,17.08,0,3.0,6.23,2.08,12.46,6.92,2.08,2,2,0,1,2,JAL,0
2024,674,Charros de Jalisco,800079,Cristian Alvarado,1,RP,11,0,11,11,9,0,0,2,4,5,0,10,0,0.286,35,0.366,0.457,0.823,0,1,100.0,1,164,9.35,8.2,1,0,0,0,0,0,9,1.73,41,26,11,0,0,101,0.62,0,0,0,0,16,1.0,1.0,18.92,2,0.8,4.15,5.19,10.38,9.35,2.08,10,2,0,0,1,JAL,0
2024,674,Charros de Jalisco,680048,Aldo Ramirez,1,RP,2,0,2,2,2,0,0,0,1,4,0,3,0,0.429,7,0.583,0.429,1.012,0,0,,0,51,10.8,1.2,0,0,0,0,0,0,2,4.2,12,5,2,0,0,22,0.43,0,0,0,0,3,1.0,,30.6,0,0.25,5.4,21.6,16.2,10.8,0.0,3,3,0,0,1,JAL,0
2024,674,Charros de Jalisco,686317,Edgar Manzo,1,RP,4,0,3,7,5,2,0,1,2,6,2,6,1,0.353,17,0.52,0.647,1.167,0,1,100.0,0,85,11.25,4.0,0,0,0,0,0,0,5,3.0,25,12,4,0,0,50,0.59,1,0,1,0,11,0.43,,21.25,0,0.33,4.5,13.5,13.5,11.25,2.25,3,0,0,0,1,JAL,0
2024,675,Caneros de los Mochis,601978,Fabian Cota,1,RP,17,0,21,19,2,2,0,0,12,4,1,11,1,0.183,60,0.242,0.217,0.459,0,1,100.0,0,253,0.0,17.0,2,1,6,7,4,1,0,0.88,68,51,17,0,0,170,0.67,1,0,0,0,13,1.11,0.667,14.88,11,3.0,6.35,2.12,5.82,1.06,0.0,7,0,0,2,1,MOC,0
2024,675,Caneros de los Mochis,803197,Marco Fregozo,1,RP,1,0,1,2,0,0,0,0,0,0,0,0,0,0.0,3,0.0,0.0,0.0,0,0,,0,10,0.0,1.0,0,0,0,0,0,0,0,0.0,3,3,1,0,0,6,0.6,0,0,0,0,0,0.5,,10.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,MOC,0
2024,675,Caneros de los Mochis,670328,Juan Gámez,1,RP,4,0,5,2,0,0,0,0,3,2,0,3,0,0.231,13,0.333,0.231,0.564,0,1,100.0,0,57,0.0,3.1,0,0,1,1,1,0,0,1.5,15,10,4,0,0,31,0.54,0,0,0,0,3,2.5,,17.1,1,1.5,8.1,5.4,8.1,0.0,0.0,0,0,0,0,0,MOC,0
2024,675,Caneros de los Mochis,682779,Jose Luna,1,RP,11,0,11,5,1,0,0,0,3,6,0,4,1,0.182,22,0.379,0.182,0.561,0,0,,1,102,0.0,6.2,1,0,0,0,2,0,0,1.5,30,20,11,0,0,54,0.53,1,0,1,0,4,2.2,1.0,15.3,1,0.5,4.05,8.1,5.4,1.35,0.0,18,4,0,1,0,MOC,0
2024,675,Caneros de los Mochis,477584,Tomas Solis,1,RP,14,0,10,9,0,1,0,0,2,2,0,3,0,0.13,23,0.192,0.174,0.366,0,1,100.0,4,98,0.0,8.1,2,0,0,0,2,0,0,0.6,26,25,14,0,0,57,0.58,0,0,1,0,4,1.11,1.0,11.76,0,1.0,2.16,2.16,3.24,0.0,0.0,27,7,0,0,1,MOC,0
2024,675,Caneros de los Mochis,703725,Luis Gastelum,1,RP,17,0,13,9,3,3,0,0,27,4,0,12,1,0.197,61,0.258,0.246,0.504,0,2,100.0,1,270,1.0,18.0,0,0,0,1,8,1,2,0.89,66,54,17,0,0,190,0.7,1,0,0,0,15,1.44,,15.0,1,6.75,13.5,2.0,6.0,1.5,0.0,4,0,0,0,0,MOC,0
2024,675,Caneros de los Mochis,665958,Darel Torres,1,SP,7,7,22,51,7,1,0,2,38,24,0,15,1,0.121,124,0.267,0.177,0.444,5,3,37.5,2,662,1.62,39.0,7,0,0,0,0,0,7,1.0,151,117,7,0,0,397,0.6,1,0,2,0,22,0.43,1.0,16.97,0,1.58,8.77,5.54,3.46,1.62,0.46,0,0,0,1,1,MOC,4
2024,675,Caneros de los Mochis,572177,Nick Struck,1,"SP, RP",7,4,22,19,6,2,0,0,15,8,0,17,0,0.239,71,0.316,0.268,0.584,1,2,66.7,3,341,1.77,20.1,1,0,1,1,1,0,4,1.23,81,61,7,0,0,207,0.61,0,0,0,1,19,1.16,1.0,16.77,1,1.88,6.64,3.54,7.52,2.66,0.0,0,0,0,2,0,MOC,1
2024,675,Caneros de los Mochis,685829,Irving Machuca,1,RP,17,0,8,18,4,3,0,1,23,6,1,17,2,0.262,65,0.342,0.354,0.696,1,3,75.0,1,317,2.08,17.1,2,0,0,0,7,0,4,1.33,74,52,17,0,0,194,0.61,2,0,0,0,23,0.44,1.0,18.29,3,3.83,11.94,3.12,8.83,2.08,0.52,2,0,0,1,0,MOC,0
2024,675,Caneros de los Mochis,660826,Lupe Chavez,1,RP,10,0,18,18,8,3,1,0,18,5,0,16,1,0.239,67,0.293,0.313,0.606,1,4,80.0,3,274,2.5,18.0,0,0,0,1,0,1,5,1.17,76,54,10,0,0,185,0.68,1,0,1,0,21,1.0,,15.22,1,3.6,9.0,2.5,8.0,4.0,0.0,12,7,0,1,2,MOC,0
2024,675,Caneros de los Mochis,642532,Luis Miranda,1,SP,4,4,30,29,7,5,0,1,13,2,0,23,2,0.245,94,0.273,0.33,0.603,1,4,80.0,3,353,2.52,25.0,2,0,0,0,0,0,7,1.0,99,75,4,0,0,229,0.65,2,0,0,0,31,1.03,1.0,14.12,0,6.5,4.68,0.72,8.28,2.52,0.36,0,0,0,0,1,MOC,4
2024,675,Caneros de los Mochis,681753,Adrian Hernandez,1,RP,8,0,12,6,2,0,0,0,3,2,1,6,1,0.231,26,0.31,0.231,0.541,0,0,,0,103,2.57,7.0,0,0,0,1,1,1,2,1.14,30,21,8,0,0,62,0.6,1,0,0,0,6,2.0,,14.71,0,1.5,3.86,2.57,7.71,2.57,0.0,3,2,0,1,0,MOC,0
2024,675,Caneros de los Mochis,807586,Omar Araujo,1,SP,6,6,26,29,9,2,1,1,22,13,0,22,1,0.222,99,0.319,0.293,0.612,0,4,100.0,0,461,2.7,26.2,1,3,0,0,0,0,8,1.31,113,80,6,0,0,283,0.61,1,0,1,0,29,0.9,0.25,17.29,0,1.69,7.43,4.39,7.43,3.04,0.34,0,0,0,0,0,MOC,1
2024,675,Caneros de los Mochis,703590,Frank Moscatiello,1,RP,3,0,2,5,1,1,0,0,2,6,0,1,0,0.1,10,0.438,0.2,0.638,0,0,,0,69,3.0,3.0,0,0,0,0,0,0,1,2.33,16,9,3,0,0,27,0.39,0,0,0,0,2,0.4,,23.0,0,0.33,6.0,18.0,3.0,3.0,0.0,0,0,0,0,0,MOC,0
2024,675,Caneros de los Mochis,685692,Vicente Valenzuela,1,RP,6,0,7,9,5,1,0,1,7,6,2,7,0,0.259,27,0.371,0.407,0.778,0,0,,1,143,3.38,8.0,0,1,0,1,0,1,3,1.63,36,24,6,0,0,90,0.63,0,0,1,0,11,0.78,0.0,17.88,1,1.17,7.88,6.75,7.88,5.63,1.13,2,1,0,1,2,MOC,0
2024,675,Caneros de los Mochis,667378,Dauris Valdez,1,RP,3,0,1,4,1,0,0,0,2,3,0,2,0,0.222,9,0.417,0.222,0.639,0,0,,0,46,3.86,2.1,0,0,0,0,0,0,1,2.14,12,7,3,0,0,24,0.52,0,0,0,0,2,0.25,,19.71,0,0.67,7.71,11.57,7.71,3.86,0.0,2,0,0,0,0,MOC,0
2024,675,Caneros de los Mochis,703722,Miguel Vazquez,1,RP,15,0,18,13,9,3,0,0,10,6,1,12,0,0.235,51,0.316,0.294,0.61,0,3,100.0,1,202,3.95,13.2,0,1,0,1,2,1,6,1.32,59,41,15,0,0,124,0.61,0,0,2,0,15,1.38,0.0,14.78,3,1.67,6.59,3.95,7.9,5.93,0.0,10,4,0,2,0,MOC,0
