season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,679,Venados de Mazatlan,667918,Erick Casillas,1,,3.24,36,0.261,0.314,0.207,0.521,7.56,4.32,0.0,6.48,1.75,2,1,5,0,1,0,0,0,0,0,0,7,0,0,0,48,9,24,0,63.0,15.24,3.528,11.1,19.4,0.0,0.571,0.0,5,1,2,10,1,0,2,3,MAZ,80.0,19.0,39.0,30.0,RP,0,7,4,127,0.207,1,1,6,29,3,0.0,7.1,18.8,25.0,54.2,16.7,4.2,8.3,30.7,23.6,52.8
2024,679,Venados de Mazatlan,672666,Adolfo Ramirez,1,,0.0,6,1.0,0.5,0.4,0.9,16.2,5.4,0.0,10.80,3.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,11,4,2,0,67.0,14.4,4.0,16.7,50.0,0.0,0.333,0.0,0,0,0,0,0,0,1,1,MAZ,16.0,3.0,9.0,5.0,RP,0,3,1,24,0.4,0,0,2,5,0,,16.7,36.4,0.0,50.0,50.0,0.0,33.3,37.5,20.8,50.0
2024,679,Venados de Mazatlan,675188,Hector Villalobos,1,1.0,3.0,22,0.167,0.227,0.35,0.577,10.5,3.0,1.5,4.50,3.5,7,3,2,0,0,0,0,0,1,0,1,1,2,0,0,37,9,13,4,54.0,16.17,4.409,9.1,31.8,0.045,0.286,0.2,2,4,0,4,0,0,2,1,MAZ,44.0,7.0,20.0,12.0,RP,1,7,2,97,0.15,0,0,3,20,2,50.0,9.3,24.3,15.4,38.5,15.4,30.8,22.7,20.6,12.4,31.8
2024,679,Venados de Mazatlan,683114,Fernando Burgueno,1,,0.0,6,0.5,0.5,0.4,0.9,9.0,9.0,0.0,18.00,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,9,3,4,0,57.0,21.0,3.5,16.7,16.7,0.0,1.0,0.0,1,1,0,0,1,0,1,0,MAZ,12.0,3.0,6.0,3.0,RP,0,1,1,21,0.4,0,0,2,5,0,0.0,14.3,33.3,50.0,0.0,25.0,25.0,0.0,28.6,14.3,50.0
2024,679,Venados de Mazatlan,690909,Daniel Cruz,1,,15.0,16,0.364,0.5,0.929,1.429,3.0,6.0,6.0,18.00,0.5,8,1,0,0,0,0,0,1,1,0,0,6,0,0,0,30,5,13,2,63.0,19.67,3.688,12.5,6.3,0.125,2.0,0.5,3,1,1,2,2,0,3,1,MAZ,83.0,24.0,31.0,20.0,RP,2,1,2,59,0.429,0,0,6,14,5,40.0,8.5,16.7,38.5,23.1,30.8,7.7,-6.2,52.5,33.9,150.0
2024,679,Venados de Mazatlan,691376,Irving Medina,1,,0.0,4,0.0,0.25,0.0,0.25,9.0,9.0,0.0,0.00,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,2,0,53.0,15.0,3.75,25.0,25.0,0.0,1.0,0.0,0,1,0,1,0,0,0,0,MAZ,8.0,1.0,3.0,1.0,RP,0,1,1,15,0.0,0,0,0,3,0,,13.3,28.6,0.0,50.0,0.0,50.0,0.0,20.0,6.7,25.0
2024,679,Venados de Mazatlan,692643,Ernesto Borges,1,,9.0,10,0.333,0.4,0.25,0.65,9.0,9.0,0.0,9.00,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,11,2,6,0,46.0,17.5,3.5,20.0,20.0,0.0,1.0,0.0,0,2,0,2,0,0,1,1,MAZ,16.0,5.0,7.0,5.0,RP,0,2,2,35,0.25,0,0,2,8,2,,5.7,18.2,0.0,50.0,16.7,33.3,0.0,20.0,14.3,50.0
2024,679,Venados de Mazatlan,694756,J.P. Woodward,1,0.667,6.52,47,0.382,0.478,0.432,0.91,2.79,8.38,0.0,12.10,0.33,4,0,11,1,1,0,0,0,1,1,4,11,1,0,0,65,8,35,6,62.0,16.86,3.468,19.1,6.4,0.0,3.0,0.081,4,2,2,14,3,0,2,8,MAZ,85.0,19.0,35.0,29.0,RP,0,3,9,163,0.351,0,0,13,37,7,0.0,4.9,12.3,20.0,62.9,11.4,5.7,-12.7,21.5,17.8,40.4
2024,679,Venados de Mazatlan,700071,Alexandro Tovalin,1,0.0,15.43,13,0.2,0.462,0.556,1.018,11.57,15.43,3.86,7.71,0.75,4,2,2,2,2,0,0,2,0,0,0,1,0,0,0,16,7,6,0,47.0,21.86,3.923,30.8,23.1,0.077,1.333,0.333,3,0,0,1,1,0,0,1,MAZ,24.0,7.0,15.0,8.0,RP,1,3,4,51,0.222,0,0,2,9,4,25.0,13.7,43.8,66.7,33.3,0.0,0.0,-7.7,29.4,15.7,53.8
2024,679,Venados de Mazatlan,701063,Pablo Tellez,1,0.333,5.63,69,0.378,0.358,0.475,0.833,8.44,2.25,1.13,10.69,3.75,0,0,3,1,4,2,0,0,4,0,1,8,0,0,0,131,28,49,18,68.0,17.25,4.0,5.8,21.7,0.029,0.267,0.164,8,7,0,15,2,0,11,6,MAZ,189.0,50.0,86.0,58.0,SP,2,15,4,276,0.311,1,1,19,61,10,20.0,10.1,21.4,20.4,42.9,22.4,14.3,15.9,31.2,21.0,72.5
