season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,ER,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,679,Venados de Mazatlan,542279,Javier Solano,1,0.4,5.4,143,0.273,0.315,0.351,0.666,4.86,3.24,0.81,8.91,1.5,0,0,6,4,1,0,3,0,4,0,2,29,1,0,0,278,51,113,22,66.0,16.32,3.804,8.4,12.6,0.021,0.667,0.099,31,14,5,30,7,0,16,10,MAZ,360,88,133,82,SP,3,18,12,544,0.252,0,0,33,131,20,19,7.9,9.4,18.3,33.6,35.4,18.6,12.4,4.2,24.4,15.1,61.5
2024,679,Venados de Mazatlan,554230,Amilcar Gaxiola,1,,5.79,20,0.294,0.35,0.353,0.703,1.93,0.0,0.0,9.64,,1,0,0,0,0,1,0,0,1,0,0,4,0,0,0,38,7,17,1,62.0,19.07,4.45,0.0,5.0,0.0,,0.059,1,3,2,6,2,0,2,1,MAZ,55,11,24,17,RP,0,1,0,89,0.294,2,1,5,17,3,3,0.0,7.9,18.4,17.6,41.2,23.5,17.6,5.0,27.0,19.1,55.0
2024,679,Venados de Mazatlan,571328,Jovany Lopez,1,,81.0,5,1.0,0.8,1.25,2.05,27.0,27.0,0.0,81.00,1.0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,12,3,3,0,56.0,75.0,5.0,20.0,20.0,0.0,1.0,0.5,0,0,0,0,1,0,2,0,MAZ,14,3,5,2,RP,0,1,1,25,0.75,0,0,3,4,3,3,0.0,12.0,25.0,33.3,0.0,66.7,0.0,0.0,20.0,8.0,60.0
2024,679,Venados de Mazatlan,585132,Raul Carrillo,1,0.5,1.82,101,0.315,0.327,0.337,0.664,6.57,2.92,0.36,8.76,2.25,0,0,1,0,1,0,0,0,4,0,6,22,1,0,0,178,34,74,10,61.0,16.26,3.97,7.9,17.8,0.01,0.444,0.076,14,6,7,23,2,0,11,11,MAZ,246,62,102,68,SP,1,18,8,401,0.261,1,0,24,92,5,5,6.2,8.5,19.1,21.6,45.9,24.3,8.1,9.9,25.4,17.0,61.4
2024,679,Venados de Mazatlan,650813,Luis Escobar,1,0.333,4.56,107,0.271,0.311,0.424,0.735,3.86,2.45,1.05,9.12,1.57,0,0,3,0,4,1,1,0,5,1,3,13,1,0,0,188,33,89,11,64.0,15.43,3.701,6.5,10.3,0.028,0.636,0.162,24,7,4,28,8,0,6,12,MAZ,254,59,95,62,SP,3,11,7,396,0.263,0,0,26,99,13,9,9.4,8.3,17.6,36.0,44.9,11.2,7.9,3.8,24.0,15.7,55.1
2024,679,Venados de Mazatlan,663884,Nolan Kingham,1,0.25,3.47,148,0.255,0.272,0.273,0.545,6.94,2.23,0.25,6.94,3.11,0,0,5,3,5,2,4,0,5,0,1,18,1,0,0,262,63,108,6,66.0,14.48,3.554,6.1,18.9,0.007,0.321,0.061,18,4,6,52,6,0,8,14,MAZ,348,91,148,85,SP,1,28,9,526,0.212,3,3,28,132,14,9,4.2,12.0,24.0,22.2,61.1,13.0,3.7,12.8,28.1,16.2,61.5
2024,679,Venados de Mazatlan,666208,Alex Speas,1,0.0,5.4,27,0.2,0.296,0.304,0.6,9.45,2.7,1.35,5.40,3.5,3,2,0,0,1,0,0,6,0,0,1,4,2,0,0,42,14,16,0,59.0,15.15,3.741,7.4,25.9,0.037,0.286,0.13,6,1,1,4,2,0,1,1,MAZ,60,15,32,18,RP,1,7,2,101,0.174,2,0,4,23,4,4,12.5,13.9,33.3,50.0,31.2,12.5,6.2,18.5,31.7,17.8,55.6
2024,679,Venados de Mazatlan,667918,Erick Casillas,1,,3.65,56,0.303,0.345,0.273,0.618,9.49,5.84,0.0,7.30,1.63,4,3,5,0,3,1,0,0,2,0,0,9,0,0,0,88,23,34,3,62.0,17.27,3.804,14.3,23.2,0.0,0.615,0.045,8,1,3,12,1,0,5,4,MAZ,132,30,65,42,RP,0,13,8,213,0.227,1,2,10,44,5,3,0.0,10.8,26.1,26.5,47.1,23.5,2.9,8.9,30.5,19.7,53.6
2024,679,Venados de Mazatlan,672666,Adolfo Ramirez,1,,2.25,15,0.5,0.333,0.385,0.718,13.5,2.25,0.0,9.00,6.0,2,0,1,0,1,0,0,2,1,0,0,2,1,0,0,30,8,8,0,66.0,14.75,3.933,6.7,40.0,0.0,0.167,0.077,1,1,0,2,1,0,1,2,MAZ,39,7,17,9,RP,0,6,1,59,0.308,0,1,4,13,1,1,0.0,13.6,26.7,25.0,50.0,12.5,12.5,33.3,28.8,15.3,46.7
2024,679,Venados de Mazatlan,675188,Hector Villalobos,1,1.0,1.86,36,0.286,0.314,0.355,0.669,8.38,3.72,0.93,6.52,2.25,9,5,2,0,0,0,0,0,1,0,4,5,2,0,0,55,12,23,7,55.0,14.38,3.861,11.1,25.0,0.028,0.444,0.129,4,4,0,8,0,0,4,3,MAZ,76,18,33,21,RP,1,9,4,139,0.226,0,0,7,31,2,2,25.0,8.6,21.8,17.4,47.8,17.4,17.4,13.9,23.7,15.1,50.0
