date,code,description,ballColor,isStrike,isBall,eventType,ball_count,strike_count,strikeZoneTop,strikeZoneBottom,x,y,pitchNumber,pitcher_name,pitcher_id,pitch_hand,batter_name,batter_id,bat_side
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,2,1,3.371,1.535,140.32,118.28,3,Jorge Perez,656839,Right,Asael Sanchez,661313,Right
2024-10-20,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,2,2,3.371,1.535,90.79,134.77,4,Jorge Perez,656839,Right,Asael Sanchez,661313,Right
2024-10-20,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,2,2,3.371,1.535,108.33,126.76,5,Jorge Perez,656839,Right,Asael Sanchez,661313,Right
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,1,0,3.371,1.535,69.75,113.1,1,Jorge Perez,656839,Right,Mike Hart,678966,Left
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,2,0,3.371,1.535,103.94,204.51,2,Jorge Perez,656839,Right,Mike Hart,678966,Left
2024-10-20,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,2,1,3.371,1.535,93.86,137.6,3,Jorge Perez,656839,Right,Mike Hart,678966,Left
2024-10-20,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,2,2,3.371,1.535,110.08,184.72,4,Jorge Perez,656839,Right,Mike Hart,678966,Left
2024-10-20,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,2,3,3.371,1.535,96.49,178.12,5,Jorge Perez,656839,Right,Mike Hart,678966,Left
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,0,3.371,1.535,111.83,201.68,1,Jose Carlos Medina,642375,Left,Yadir Drake,660436,Right
2024-10-20,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,1,1,3.371,1.535,101.31,125.35,2,Jose Carlos Medina,642375,Left,Yadir Drake,660436,Right
2024-10-20,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,1,1,3.371,1.535,101.75,153.62,3,Jose Carlos Medina,642375,Left,Yadir Drake,660436,Right
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,0,3.319,1.513,90.79,236.08,1,Jose Carlos Medina,642375,Left,Angel Erro,652669,Right
2024-10-20,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,1,1,3.319,1.513,108.33,123.93,2,Jose Carlos Medina,642375,Left,Angel Erro,652669,Right
2024-10-20,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,1,1,3.319,1.513,96.49,129.12,3,Jose Carlos Medina,642375,Left,Angel Erro,652669,Right
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,0,3.49,1.601,118.85,217.23,1,Jose Carlos Medina,642375,Left,Roberto Ramos,657733,Left
2024-10-20,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,1,0,3.49,1.601,100.88,112.15,2,Jose Carlos Medina,642375,Left,Roberto Ramos,657733,Left
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,1,0,3.371,1.535,101.31,221.47,1,Jorge Perez,656839,Right,Juan Uriarte,660842,Right
2024-10-20,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,2,0,3.371,1.535,158.73,174.82,2,Jorge Perez,656839,Right,Juan Uriarte,660842,Right
