season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,IP_numeric,QS
2024,680,Yaquis de Obregon,593372,Carlos Martinez,1,SP,2,2,9,8,6,5,0,0,10,3,0,14,0,0.341,41,0.386,0.463,0.849,1,1,50.0,0,155,5.59,9.2,1,1,0,0,0,0,6,1.76,44,29,2,0,0,106,0.68,0,1,0,0,19,1.13,0.5,16.03,0,3.33,9.31,2.79,13.03,5.59,0.0,0,0,0,0,0,OBR,9.666666666666666,1
2024,680,Yaquis de Obregon,657116,Zach Willeman,1,RP,10,0,15,7,9,5,0,0,7,7,1,12,0,0.316,38,0.422,0.447,0.869,0,2,100.0,3,186,7.2,10.0,0,3,4,5,0,1,8,1.9,48,30,10,0,0,109,0.59,0,0,0,0,17,2.14,0.0,18.6,7,1.0,6.3,6.3,10.8,8.1,0.0,2,2,0,3,0,OBR,10.0,0
2024,5482,Algodoneros de Guasave,695871,Jesus Broca,1,RP,8,0,5,7,1,0,0,0,5,5,0,3,0,0.15,20,0.32,0.15,0.47,0,0,,1,108,0.0,6.1,2,0,0,0,1,0,0,1.26,25,19,8,0,0,58,0.54,0,0,0,0,3,0.71,1.0,17.05,0,1.0,7.11,7.11,4.26,1.42,0.0,7,1,0,0,0,GSV,6.333333333333333,0
2024,5482,Algodoneros de Guasave,800099,Edwin Cervantes,1,RP,3,0,2,3,0,0,0,0,2,1,0,0,0,0.0,7,0.125,0.0,0.125,0,0,,0,29,0.0,2.1,0,0,0,0,0,0,0,0.43,8,7,3,0,0,15,0.52,0,0,0,0,0,0.67,,12.43,3,2.0,7.71,3.86,0.0,0.0,0.0,1,0,0,0,0,GSV,2.3333333333333335,0
2024,5482,Algodoneros de Guasave,687455,Juan Cossio,1,RP,6,0,10,10,0,3,0,0,8,6,3,4,0,0.129,31,0.27,0.226,0.496,0,1,100.0,0,112,0.0,9.0,0,0,0,1,1,1,0,1.11,38,27,6,0,0,82,0.73,0,0,0,0,7,1.0,,12.44,1,1.33,8.0,6.0,4.0,0.0,0.0,5,2,0,1,0,GSV,9.0,0
2024,5482,Algodoneros de Guasave,682608,Peyton Gray,1,RP,3,0,3,1,0,0,0,0,1,2,0,1,0,0.167,6,0.375,0.167,0.542,0,0,,1,39,0.0,2.0,1,0,0,0,1,0,0,1.5,8,6,3,0,0,26,0.67,0,0,0,0,1,3.0,1.0,19.5,0,0.5,4.5,9.0,4.5,0.0,0.0,0,0,0,0,0,GSV,2.0,0
2024,5482,Algodoneros de Guasave,703655,Dan Kubiuk,1,RP,10,0,8,12,1,0,0,1,11,0,0,5,1,0.139,36,0.162,0.222,0.384,0,0,,0,152,0.87,10.1,1,0,4,4,0,0,1,0.48,37,31,10,0,0,105,0.69,1,0,0,0,8,0.67,1.0,14.71,8,,9.58,0.0,4.35,0.87,0.87,1,0,0,0,0,GSV,10.333333333333334,0
2024,5482,Algodoneros de Guasave,572943,Jeff Ibarra,1,RP,8,0,4,5,1,2,0,0,7,3,0,5,1,0.238,21,0.36,0.333,0.693,0,0,,1,91,1.59,5.2,0,0,0,0,3,0,1,1.41,25,17,8,0,0,53,0.58,1,0,0,0,7,0.8,,16.06,0,2.33,11.12,4.76,7.94,1.59,0.0,9,2,0,0,0,GSV,5.666666666666667,0
2024,5482,Algodoneros de Guasave,642856,Fabian Anguamea,1,"SP, RP",10,1,11,6,2,1,0,0,14,3,0,6,0,0.162,37,0.225,0.189,0.414,0,2,100.0,0,170,1.69,10.2,0,0,1,2,1,1,2,0.84,40,32,10,0,0,110,0.65,0,0,1,1,7,1.83,,15.94,3,4.67,11.81,2.53,5.06,1.69,0.0,3,0,0,0,0,GSV,10.666666666666666,0
2024,5482,Algodoneros de Guasave,676190,Carlos Morales,1,RP,8,0,10,10,2,1,0,1,10,4,0,6,0,0.171,35,0.256,0.286,0.542,0,0,,1,172,1.74,10.1,1,0,0,0,3,0,2,0.97,40,31,8,0,0,102,0.59,0,0,0,0,10,1.0,1.0,16.65,1,2.5,8.71,3.48,5.23,1.74,0.87,2,1,0,1,0,GSV,10.333333333333334,0
